"","scientific_name","mean_eye_size","common_name","mass","rel_mean_eye_size"
"1","Accipiter badius",9.79636363636364,"Shikra",131.2,0.0746674057649667
"2","Accipiter trivirgatus",14.7425,"Crested Goshawk",265,0.0556320754716981
"3","Aegithina tiphia",3.887,"Common Iora",12,0.323916666666667
"4","Arachnothera longirostra",5.108,"Little Spiderhunter",12.5,0.40864
"5","Carpodacus erythrinus",3.756,"Common Rosefinch",24,0.1565
"6","Centropus sinensis",9.759,"Greater Coucal",280.7,0.0347666547915925
"7","Chalcophaps indica",6.947,"Asian Emerald Dove",136.5,0.0508937728937729
"8","Chloropsis aurifrons",4.82272727272727,"Golden-fronted Leafbird",32.3,0.149310441880101
"9","Copsychus saularis",6.67,"Oriental Magpie-Robin",36,0.185277777777778
"10","Corvus macrorhynchos",10.713,"Large-billed Crow",513.1,0.0208789709608263
