"","species","median_begin_time","median_relative_onset_time","scientific_name","common_name","Order","ebird_residuals","q1","q3","trophic_niche","mass","foraging_habit","median_pf","territoriality","mean_vert_strat"
"12","BRWA",06:25:58.0,43.4666666666667,"Acrocephalus dumetorum","Blyth's Reed Warbler","Passeriformes",-0.0214994669693342,33.4666666666667,64.9916666666667,"Invertivore",11.2,"UND",5343.75,"Weakly territorial",5.0672268907563
"13","BWFS",07:27:58.0,107.175,"Hemipus picatus","Bar-winged Flycatcher-shrike","Passeriformes",0.0948619243240852,74.275,147.875,"Invertivore",9,"CAN",5625,"Highly territorial",5.82142857142857
"14","CHCU",05:32:40.0,9.66666666666667,"Hierococcyx varius","Common Hawk-Cuckoo","Cuculiformes",0.0569934248112376,-9.51666666666667,15.6666666666667,"Invertivore",103,"CAN",1781.25,"Non-territorial",5.37837837837838
"15","COFL",07:10:50.0,94.65,"Dinopium javanense","Common Flameback","Piciformes",-0.361999535343352,51.35,133.116666666667,"Invertivore",72.8,"MID",2906.25,"Highly territorial",6.44
"16","COIO",06:41:54.0,59.6666666666667,"Aegithina tiphia","Common Iora","Passeriformes",-0.0130020873064921,47.5333333333333,133.2,"Invertivore",12,"MID",2531.25,"Weakly territorial",5.18367346938776
"17","COTA",06:38:38.5,62.0833333333333,"Orthotomus sutorius","Common Tailorbird","Passeriformes",-0.0231438223479351,47.1166666666667,115.170833333333,"Invertivore",7.5,"UND",3468.75,"Highly territorial",5.3265306122449
"18","DFBA",06:53:32.0,70.1416666666667,"Dumetia atriceps","Dark-fronted Babbler","Passeriformes",-0.0606641312606644,51.6791666666667,107.145833333333,"Invertivore",16.3,"UND",3796.875,"Weakly territorial",5.36538461538461
"19","EUHO",06:27:45.0,47.25,"Upupa epops","Eurasian Hoopoe","Bucerotiformes",-0.206994499488912,41.3833333333333,72.1,"Invertivore",66.9,"GRD",562.5,"Weakly territorial",5.09523809523809
"20","FTBU",06:28:05.0,44.7333333333333,"Rubigula gularis","Flame-throated Bulbul","Passeriformes",-0.306740605095012,35.1666666666667,92.9166666666667,"Frugivore",29.3,"MID",2718.75,"Weakly territorial",6.07692307692308
"21","GFGP",07:00:00.0,75.2666666666667,"Treron affinis","Gray-fronted Green-Pigeon","Columbiformes",-0.363265828194812,49.35,119.308333333333,"Frugivore",234,"CAN",1968.75,"Non-territorial",5.18518518518519
"22","GFLE",07:46:57.0,120.933333333333,"Chloropsis aurifrons","Golden-fronted Leafbird","Passeriformes",-0.0536102468704455,112.716666666667,166.033333333333,"Omnivore",32.3,"CAN",4031.25,"Weakly territorial",5.6
"23","GHCF",06:22:11.0,40.4333333333333,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","Passeriformes",0.175001217773994,24.7,79.2833333333333,"Invertivore",7.7,"MID",4125,"Weakly territorial",6.56989247311828
"24","GRFL",06:41:50.5,61.45,"Chrysocolaptes guttacristatus","Greater Flameback","Piciformes",-0.180082916184972,42.325,96.5833333333333,"Invertivore",166,"CAN",3093.75,"Highly territorial",5.65243902439024
"25","GRJU",06:08:12.0,28.8666666666667,"Gallus sonneratii","Gray Junglefowl","Galliformes",-0.383063811571674,22.1875,36.1416666666667,"Omnivore",840.8,"GRD",1312.5,"Weakly territorial",5.64830508474576
"26","GRNW",06:58:58.0,72.6333333333333,"Phylloscopus nitidus","Green Warbler","Passeriformes",-0.190044220609428,56.4708333333333,107.9,"Invertivore",7.8,"CAN",5625,"Weakly territorial",5.95138888888889
"27","GRTD",06:05:03.0,23.0166666666667,"Dicrurus paradiseus","Greater Racket-tailed Drongo","Passeriformes",0.0649258920565673,18.5416666666667,41.4083333333333,"Invertivore",85.8,"CAN",1968.75,"Highly territorial",5.68837209302326
"28","GRWA",06:33:24.0,51.0166666666667,"Phylloscopus trochiloides","Greenish Warbler","Passeriformes",-0.0465941122149343,43.6,66.1333333333333,"Invertivore",8.1,"CAN",5718.75,"Weakly territorial",5.74634146341463
"29","HOCR",06:45:02.0,60.1333333333333,"Corvus splendens","House Crow","Passeriformes",-0.0659302008749586,51.6666666666667,103,"Omnivore",292.6,"GRD",1312.5,"Non-territorial",5.52941176470588
"30","HSWO",06:55:01.5,76.975,"Hemicircus canente","Heart-spotted Woodpecker","Piciformes",-0.215783060134521,48.725,125.725,"Invertivore",43,"CAN",4406.25,"Weakly territorial",5.75471698113208
"31","IBRO",06:21:29.0,37.1833333333333,"Larvivora brunnea","Indian Blue Robin","Passeriformes",-0.123874498227017,27.9333333333333,50.6916666666667,"Invertivore",17.5,"UND",5531.25,"Non-territorial",5.76978417266187
"32","INPE",05:57:57.0,34.0333333333333,"Pavo cristatus","Indian Peafowl","Galliformes",-0.436223158813867,13.6916666666667,80.5125,"Omnivore",4154.8,"GRD",1500,"Non-territorial",5.26315789473684
"33","INPI",06:06:02.5,23.6416666666667,"Pitta brachyura","Indian Pitta","Passeriformes",0.181547480946245,19.5791666666667,33.8958333333333,"Invertivore",55.5,"GRD",2718.75,"Weakly territorial",5.08
"34","IPFL",07:20:49.0,97.0666666666667,"Terpsiphone paradisi","Indian Paradise-Flycatcher","Passeriformes",0.107886652726247,65.3166666666667,130.341666666667,"Invertivore",19.2,"MID",4687.5,"Weakly territorial",6.59259259259259
"35","ISBA",06:12:46.5,32.0833333333333,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler","Passeriformes",-0.170769325159498,27.6958333333333,36.4791666666667,"Invertivore",43,"UND",937.5,"Highly territorial",5.61061946902655
"36","IWEY",06:03:47.0,22.3833333333333,"Zosterops palpebrosus","Indian White-eye","Passeriformes",-0.162725371067412,18.55,29.7666666666667,"Omnivore",8.6,"MID",3750,"Weakly territorial",5.67659574468085
"37","IYTI",07:00:34.5,79.5833333333333,"Machlolophus aplonotus","Indian Yellow Tit","Passeriformes",-0.120851064022585,51.15,124.054166666667,"Invertivore",14.8,"CAN",6000,"Weakly territorial",5.73484848484848
"38","LBCR",06:37:55.0,56.675,"Corvus macrorhynchos","Large-billed Crow","Passeriformes",0.0286637706672731,41.1458333333333,84.525,"Omnivore",513.1,"GRD",1406.25,"Weakly territorial",5.44117647058824
"39","LBLW",06:47:27.0,64.25,"Phylloscopus magnirostris","Large-billed Leaf Warbler","Passeriformes",-0.174607065385356,52.2166666666667,86.2,"Invertivore",11.6,"UND",3843.75,"Weakly territorial",5.9112426035503
"40","LEYE",07:07:38.0,84.6916666666667,"Picus chlorolophus","Lesser Yellownape","Piciformes",-0.0446598694054072,46.9125,144.775,"Invertivore",65.4,"CAN",2953.125,"Weakly territorial",5.20833333333333
"41","MABA",06:36:06.0,56.3416666666667,"Psilopogon malabaricus","Malabar Barbet","Piciformes",-0.275641459162829,48.0625,79.8625,"Frugivore",37.6,"CAN",750,"Weakly territorial",5.56875
"42","MATR",06:56:12.0,71.9833333333333,"Harpactes fasciatus","Malabar Trogon","Trogoniformes",0.11186307190562,46.1333333333333,133.3,"Invertivore",62,"MID",1406.25,"Weakly territorial",5.80487804878049
"43","MAWO",07:38:17.0,113.2,"Tephrodornis sylvicola","Malabar Woodshrike","Passeriformes",0.0680702770650523,74.7583333333333,167.975,"Invertivore",37.8,"CAN",2250,"Weakly territorial",5.46666666666667
"44","MIPI",06:31:35.0,53.1333333333333,"Ducula badia","Mountain Imperial-Pigeon","Columbiformes",-0.158033389880354,36.0666666666667,75.5833333333333,"Frugivore",486,"CAN",281.25,"Non-territorial",6
"45","NIFL",07:02:31.5,74.8833333333333,"Eumyias albicaudatus","Nilgiri Flycatcher","Passeriformes",0.0653706129069495,51.3625,118.2625,"Invertivore",16.4,"CAN",3140.625,"Weakly territorial",6.40909090909091
"46","NIFP",06:13:10.0,31.4833333333333,"Dicaeum concolor","Nilgiri Flowerpecker","Passeriformes",-0.160898239859801,27.1833333333333,41.25,"Omnivore",6.2,"CAN",7312.5,"Non-territorial",5.68312757201646
"47","OHTH",06:08:34.0,26.0666666666667,"Geokichla citrina","Orange-headed Thrush","Passeriformes",0.0708614784268488,19.7,49.5,"Omnivore",53.3,"GRD",2718.75,"Weakly territorial",5.86666666666667
"48","OMRO",07:30:30.0,102.483333333333,"Copsychus saularis","Oriental Magpie-Robin","Passeriformes",0.242596525722813,75.6916666666667,147.4,"Invertivore",36,"GRD",4875,"Highly territorial",5
"49","ORMI",07:20:43.0,95.55,"Pericrocotus flammeus","Orange Minivet","Passeriformes",0.139913039010826,63.65,149.6,"Invertivore",23.3,"CAN",5156.25,"Weakly territorial",5.46892655367232
"50","PTBA",06:15:05.0,33.3833333333333,"Pellorneum ruficeps","Puff-throated Babbler","Passeriformes",0.0772319602211519,28.3333333333333,39.95,"Invertivore",26,"GRD",2812.5,"Highly territorial",5.75586854460094
"51","PUSU",07:12:28.0,92.9333333333333,"Cinnyris asiaticus","Purple Sunbird","Passeriformes",-0.074058868325264,66.4333333333333,140.016666666667,"Omnivore",8.1,"MID",6375,"Weakly territorial",6
"52","RESP",06:21:09.0,41.0666666666667,"Galloperdix spadicea","Red Spurfowl","Galliformes",-0.263846728194131,35.2666666666667,48.3666666666667,"Omnivore",359.1,"GRD",1781.25,"Highly territorial",5.45405405405405
"53","RTFL",07:27:45.0,103.9,"Ficedula ruficauda","Rusty-tailed Flycatcher","Passeriformes",-0.0590174222336853,78.75,153.033333333333,"Invertivore",13.3,"CAN",3187.5,"Weakly territorial",6.0655737704918
"54","RUBA",07:15:20.0,110.55,"Argya subrufa","Rufous Babbler","Passeriformes",-0.244151469500239,68.2666666666667,162.291666666667,"Invertivore",66.7,"UND",3281.25,"Highly territorial",5.03703703703704
"55","RUWO",06:29:29.0,56.2583333333333,"Micropternus brachyurus","Rufous Woodpecker","Piciformes",-0.11567497731367,44.5625,77.7166666666667,"Invertivore",85.9,"MID",2812.5,"Highly territorial",5.38888888888889
"56","RWBU",06:06:49.5,26.4,"Pycnonotus jocosus","Red-whiskered Bulbul","Passeriformes",-0.0535772624032965,20.4208333333333,38.3541666666667,"Omnivore",29.5,"MID",2718.75,"Weakly territorial",5.37244897959184
"57","SHMY",06:08:44.0,27.3333333333333,"Gracula indica","Southern Hill Myna","Passeriformes",-0.155226923704946,21.8666666666667,43.1666666666667,"Frugivore",192,"CAN",3281.25,"Non-territorial",5.65502183406114
"58","SMMI",07:42:30.5,118.766666666667,"Pericrocotus cinnamomeus","Small Minivet","Passeriformes",0.000574001181897727,67.5708333333333,164.05,"Invertivore",8.6,"CAN",7218.75,"Weakly territorial",5.48076923076923
"59","SPPI",06:12:52.0,30.1583333333333,"Picumnus innominatus","Speckled Piculet","Piciformes",-0.0259295836833609,24.0375,67.2625,"Invertivore",10.2,"CAN",8718.75,"Highly territorial",5.87179487179487
"60","STBU",06:23:35.0,44.2666666666667,"Hypsipetes ganeesa","Square-tailed Bulbul","Passeriformes",-0.086912769351234,27.6083333333333,57.4291666666667,"Frugivore",51.8,"CAN",3093.75,"Weakly territorial",5.72767857142857
"61","STWO",06:48:08.0,73.2833333333333,"Picus xanthopygaeus","Streak-throated Woodpecker","Piciformes",-0.18543927099208,49.4583333333333,99.5166666666667,"Invertivore",99.7,"MID",3468.75,"Weakly territorial",5.52173913043478
"62","VFNU",06:27:26.5,46.4583333333333,"Sitta frontalis","Velvet-fronted Nuthatch","Passeriformes",-0.202549393545814,38.1166666666667,73.2416666666667,"Invertivore",16.5,"MID",6093.75,"Weakly territorial",5.84615384615385
"63","WBBF",06:17:30.5,33.3416666666667,"Cyornis pallidipes","White-bellied Blue Flycatcher","Passeriformes",0.127721246524794,16.15,70.175,"Invertivore",19,"UND",4875,"Weakly territorial",5.88815789473684
"64","WBTR",07:01:14.0,78.7333333333333,"Dendrocitta leucogastra","White-bellied Treepie","Passeriformes",0.166904170024424,50.2041666666667,126.3625,"Omnivore",99.2,"CAN",1921.875,"Highly territorial",5.43243243243243
"65","WBWO",06:45:22.5,67.75,"Dryocopus javensis","White-bellied Woodpecker","Piciformes",-0.0435309485572716,50.8375,110.204166666667,"Invertivore",271.4,"CAN",2437.5,"Highly territorial",5.58
"66","WCBA",06:08:03.0,26.35,"Psilopogon viridis","White-cheeked Barbet","Piciformes",0.015285762433253,23.25,29.1666666666667,"Frugivore",80.5,"CAN",1218.75,"Weakly territorial",5.68571428571429
"67","YBBU",06:08:29.0,26.3583333333333,"Iole indica","Yellow-browed Bulbul","Passeriformes",0.0875112569514971,20.1666666666667,35.7958333333333,"Omnivore",30.6,"MID",2437.5,"Weakly territorial",5.72314049586777
