"","scientific_name","common_name","species_annotation_codes","eBird_codes","order","notes","habitat","foraging_habit","family","avibase_ID","total_individuals","female","male","unknown","complete_measures","beakLength_culmen","beakLength_nares","beak_width","beak_depth","tarsus_length","wing_length","kipps_distance","secondary","hand_wing_index","tail_length","mass","migration","trophic_level","trophic_niche","primary_lifestyle"
"22","Spilornis cheela","Crested Serpent-Eagle","CSE","CSEA","Accipitriformes","","RF","GRD","Accipitridae","AVIBASE-3EEEE78A",18,10,7,1,15,45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,1,"Carnivore","Vertivore","Insessorial"
"23","Upupa epops","Eurasian Hoopoe","EH","EUHO","Bucerotiformes","","OC","GRD","Upupidae","AVIBASE-FA2F9125",14,7,7,0,12,55.8,46.9,5.5,6.3,21.1,142.3,30.5,111.5,21.4,96.9,66.9,3,"Carnivore","Invertivore","Terrestrial"
"24","Dendronanthus indicus","Forest Wagtail","FW","FOWA","Passeriformes","","RF","GRD","Motacillidae","AVIBASE-8E872FAA",5,2,3,0,4,17.5,11.1,3.3,3.4,20.5,78.4,26.9,51.3,34.4,67,16.4,3,"Carnivore","Invertivore","Terrestrial"
"25","Chloropsis aurifrons","Golden-fronted Leafbird","GFL","GFLE","Passeriformes","","RF","CAN","Chloropseidae","AVIBASE-5FEE1D85",5,2,3,0,4,23.7,14.9,4,5,19.8,94.4,18.7,75,20,69.8,32.3,1,"Omnivore","Omnivore","Insessorial"
"26","Motacilla cinerea","Gray Wagtail","GW","GREW","Passeriformes","eBird_code GRWA","RF","GRD","Motacillidae","AVIBASE-AE073221",17,8,9,0,4,17.4,10.8,3.1,3,18.2,82.8,28.6,54,34.6,94.4,17.2,2,"Carnivore","Invertivore","Terrestrial"
"27","Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","GHCF","GHCF","Passeriformes","","RF","MID","Stenostiridae","AVIBASE-D9B57BA4",17,10,5,2,16,11.7,5.9,3.8,2.5,12.2,58.4,11,47.2,18.9,48.4,7.7,1,"Carnivore","Invertivore","Insessorial"
"28","Buceros bicornis","Great Hornbill","GH","GRHO","Bucerotiformes","","RF","CAN","Bucerotidae","AVIBASE-A9D587B9",6,2,4,0,4,355.5,271,56.9,64.7,74.5,509.4,133.7,385.8,25.7,421.4,2790.8,1,"Omnivore","Frugivore","Insessorial"
"29","Centropus sinensis","Greater Coucal","GC","GRCO","Cuculiformes","","OC","UND","Cuculidae","AVIBASE-F5F991AC",9,4,5,0,8,46.6,29.3,9.9,16.3,55.6,212.4,30.9,181.9,14.6,260.9,280.7,1,"Carnivore","Vertivore","Terrestrial"
"30","Dicrurus paradiseus","Greater Racket-tailed Drongo","GRTD","GRTD","Passeriformes","","RF","CAN","Dicruridae","AVIBASE-2042CD42",11,2,8,1,4,32.5,20.1,10,10.7,24.5,142.9,31.1,111.8,21.8,204.8,85.8,1,"Carnivore","Invertivore","Insessorial"
"31","Phylloscopus trochiloides","Greenish Warbler","GNW","GRWA","Passeriformes","eBird_code GRWA","RF","CAN","Phylloscopidae","AVIBASE-23EF1BD9",12,4,8,0,8,11.3,6.4,3,2.6,18.7,61.3,12.2,49,19.9,48.4,8.1,3,"Carnivore","Invertivore","Insessorial"
"32","Hemicircus canente","Heart-spotted Woodpecker","HSWP","HSWO","Piciformes","","RF","CAN","Picidae","AVIBASE-23956360",5,2,3,0,4,20.4,17,6.4,6.1,17.3,94.6,11.8,81.2,12.7,33.4,43,1,"Carnivore","Invertivore","Insessorial"
"33","Corvus splendens","House Crow","HC","HOCR","Passeriformes","","OC","GRD","Corvidae","AVIBASE-39868903",25,6,17,2,13,49.7,31.5,13.9,16.7,45.9,258.2,93.8,163.9,36.3,151.9,292.6,1,"Omnivore","Omnivore","Terrestrial"
"34","Pavo cristatus","Indian Peafowl","IP","INPE","Galliformes","eBird_code NA","OC","GRD","Phasianidae","AVIBASE-A8C34DC9",5,2,3,0,4,49.1,22.8,13,12.2,130,445.2,124.4,311.1,28.7,403.2,4154.8,1,"Omnivore","Omnivore","Terrestrial"
