Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Hemipus picatus,249744221,71.33,162.89,83.096,8.4,3.7,3.68,3.18,3.43,1.96,2.27,-0.14
Hemipus picatus,611577318,24.51,53.285,23.005,8.4,3.7,3.86,3.94,3.9,2.32,2.27,0.02
Hemipus picatus,69502681,68.43,131.158,58.31,8.4,3.7,4.38,4.34,4.36,2.25,2.27,-0.01
Hemipus picatus,106803041,64.28,121.893,57.202,8.4,3.7,4.43,4.16,4.29,2.13,2.27,-0.06
Hemipus picatus,227844831,68.35,147.894,66.272,8.4,3.7,3.88,3.82,3.85,2.23,2.27,-0.02
Hemipus picatus,143280381,29.52,65.009,31.962,8.4,3.7,3.81,3.42,3.62,2.03,2.27,-0.1
Milvus migrans,112118831,50.51,90.75,67.775,22.4,17.4,12.47,12.97,12.72,1.34,1.29,0.04
Milvus migrans,174168531,37.32,59.093,56.001,22.4,17.4,14.15,11.6,12.87,1.06,1.29,-0.18
Milvus migrans,506925091,101.55,190.042,136.561,22.4,17.4,11.97,12.94,12.45,1.39,1.29,0.08
Oriolus xanthornus,629998542,30.61,93.145,41.532,19.8,7.8,6.51,5.75,6.13,2.24,2.54,-0.12
Oriolus xanthornus,511681521,85.54,252.362,110.164,19.8,7.8,6.71,6.06,6.38,2.29,2.54,-0.1
Oriolus xanthornus,315345361,51.59,151.025,70.336,19.8,7.8,6.76,5.72,6.24,2.15,2.54,-0.15
Oriolus xanthornus,416720371,72.78,239.309,91.351,19.8,7.8,6.02,6.21,6.12,2.62,2.54,0.03
Oriolus xanthornus,612480367,68.53,225.568,94.267,19.8,7.8,6.02,5.67,5.84,2.39,2.54,-0.06
Oriolus xanthornus,125502011,65.48,198.295,94.594,19.8,7.8,6.54,5.4,5.97,2.1,2.54,-0.17
Oriolus xanthornus,361358581,76.03,263.6,108.074,19.8,7.8,5.71,5.49,5.6,2.44,2.54,-0.04
Oriolus xanthornus,599892361,61.01,163.146,72.64,19.8,7.8,7.4,6.55,6.98,2.25,2.54,-0.12
Oriolus xanthornus,639555403,58.64,176.011,75.082,19.8,7.8,6.6,6.09,6.34,2.34,2.54,-0.08
Oriolus xanthornus,611156216,81.03,238.606,106.005,19.8,7.8,6.72,5.96,6.34,2.25,2.54,-0.11
Oriolus xanthornus,622989666,79.75,245.204,100.245,19.8,7.8,6.44,6.21,6.32,2.45,2.54,-0.04
