"","species_jetz","res.td","res.ad","td","ad","mass_final","hab.bin","for.bin","stratum","feed.PC1","feed.PC2","feed.PC3","feed.PC4","mig.bin","lat","range"
"Tauraco_leucotis","Tauraco leucotis",0.112080754718708,0.157000134777249,15.9,13.15,247.5,1,0,100,70.3201459116711,71.1102763224566,-24.545194301089,-4.23195322794656,0,9.23,4.35670882668959
"Tauraco_macrorhynchus","Tauraco macrorhynchus",0.086601669417723,0.114275190110908,15.5,12.6,247.5,1,0,60,59.9189309719933,35.4943132621703,-19.7253986633231,-3.93620083367782,0,3.2,4.90527477843843
"Tauraco_porphyreolophus","Tauraco porphyreolophus",0.0596973814560604,0.101989868729471,16.1,13.3,327.7,0,0,70,70.3201459116711,71.1102763224566,-24.545194301089,-4.23195322794656,0,14.26,5.34233425196481
"Tchagra_australis","Tchagra australis",0.171600180726275,0.26698953568618,10.8,9.3,35.9,0,0,0,-13.6772013521537,-0.802117055366773,6.97927767913729,40.2517607750511,0,8.9,6.71295620067707
"Tchagra_senegalus","Tchagra senegalus",0.242841453298973,0.336531411949023,11.575,9.95,35.6,0,0,0,-18.8282604407809,5.21522284689942,0.192503610477385,18.0920791986587,0,0.9,7.30182234213793
"Telacanthura_ussheri","Telacanthura ussheri",0.192827696327068,0.300647703217815,10.45,9.1,28.4,1,1,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,0.27,5.87773578177964
"Teledromas_fuscus","Teledromas fuscus",0.0941933406481765,0.186532241954592,10.7,9.2,48.2,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,33.9,4.17438726989564
"Telespiza_cantans","Telespiza cantans",-0.115839091626246,0.0527035551950756,7.25,6.7,22.2,0,0,10,60.0662895273822,-41.584835946356,-8.77025349530495,7.84193322763705,0,25.38,0.693147180559945
"Telophorus_bocagei","Telophorus bocagei",0.124197941831691,0.177041299023241,10.3,8.5,35.9,0,0,100,-35.766752709543,3.74784855250423,-4.35040497781921,-4.04705852145714,0,0.69,4.65396035015752
"Telophorus_dohertyi","Telophorus dohertyi",0.248306856387005,0.361346521129752,11.75,10.3,37.1,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,1.79,3.25809653802148
"Telophorus_multicolor","Telophorus multicolor",0.301306694004529,0.334648018292703,13.2,10.7,48.8,0,0,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,3.64,4.66343909411207
"Telophorus_sulfureopectus","Telophorus sulfureopectus",0.173110233588226,0.193500105429851,11.5,9.2,46.8,0,0,100,-35.766752709543,3.74784855250423,-4.35040497781921,-4.04705852145714,0,3.59,6.81563999007433
"Telophorus_zeylonus","Telophorus zeylonus",0.240362460597393,0.335150622492878,12.3,10.6,46.8,0,0,0,-14.8169642747985,-2.09937453544929,-3.03485108533292,7.13957075132024,0,26.96,5.01727983681492
"Temnurus_temnurus","Temnurus temnurus",0.127763338220567,0.208337072549032,12.9,11,93.6,1,0,80,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,17.9,3.8286413964891
"Tephrodornis_gularis","Tephrodornis gularis",0.292898654497285,0.420887578670772,12.8,11.4,44.3,1,0,90,-23.9793195294081,11.2325627491656,-6.59427045818252,-4.06760237773374,0,13.78,6.3261494731551
"Tephrodornis_pondicerianus","Tephrodornis pondicerianus",0.239092352547419,0.311232262757998,9.9,8.3,18.4,0,0,60,-23.9793195294081,11.2325627491656,-6.59427045818252,-4.06760237773374,0,20.89,6.06145691892802
"Terenotriccus_erythrurus","Terenotriccus erythrurus",0.20251321982529,0.311766392375214,7.85,6.8,7.9,1,1,70,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,2.13,6.59304453414244
"Terenura_maculata","Terenura maculata",0.557333428083528,0.615706367968837,10.7,8.8,6.5,1,0,100,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,22.05,4.53259949315326
"Terpsiphone_cinnamomea","Terpsiphone cinnamomea",0.327363454428759,0.348027197120186,10.8,8.6,18.3,1,1,80,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,11.3,4.20469261939097
"Terpsiphone_rufiventer","Terpsiphone rufiventer",0.283465162066002,0.321063618229141,9.525,7.7,12.85,1,1,80,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,1.38,6.03548143252476
"Terpsiphone_rufocinerea","Terpsiphone rufocinerea",0.240550199997458,0.342393787961217,9.05,7.8,12.4,1,1,60,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,1.19,4.30406509320417
"Tersina_viridis","Tersina viridis",0.0754445972761655,0.118601038547053,9.35,7.63333333333333,29.1666666666667,1,0,90,34.9578463712664,48.6561337324725,-17.8135978599991,-4.17032165911675,1,8.94,6.73696695800186
"Tesia_castaneocoronata","Tesia castaneocoronata",0.159491284529527,0.241455092858765,7.475,6.3,7.7,1,0,40,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,26.11,5.14749447681345
"Tetrao_tetrix","Tetrao tetrix",-0.000924221363932443,0.0278721017707073,13.05,10.6,171.7,0,0,0,64.0775856933646,-48.8994333287047,-11.9976081911153,-3.11057521970139,0,55.46,7.29505641646263
"Tetrao_urogallus","Tetrao urogallus",-0.0193505434146966,0.0195634943644847,24.5,20.4,2836.6,1,0,0,76.558127993728,-55.4803435638558,-12.9535085927773,-2.99351480698192,0,58.17,7.03702761468628
"Tetraogallus_altaicus","Tetraogallus altaicus",-0.0585526434799375,-0.0300457656263902,19.5,16,1252,0,0,0,63.384476573136,-34.8338088968922,-13.2855732698166,-3.24817948869746,0,50.06,4.29045944114839
"Tetraogallus_tibetanus","Tetraogallus tibetanus",-0.563495277713536,-0.541010352251581,12.25,10,1488.87,0,0,0,77.2512371139566,-69.5459679956683,-11.665543514076,-2.85591053798584,0,37.35,5.97635090929793
"Tetrax_tetrax","Tetrax tetrax",0.0134907732705765,-0.0119719299489067,18.7,14.5,764.8,0,0,0,27.3290679125028,-43.2223270550639,-7.84194190742793,-3.32415218886372,1,46.88,7.17472430983638
"Thalurania_furcata","Thalurania furcata",-0.033211321344103,0.0436587882514146,5.5,4.6,4.7,1,0,60,38.4103947290677,8.96278380041512,90.7894872663863,-8.39943740067789,0,7.71,6.84161547647759
"Thalurania_glaucopis","Thalurania glaucopis",-0.0677560119911336,0.0114117314277649,5.6,4.7,5.9,1,0,40,38.4103947290677,8.96278380041512,90.7894872663863,-8.39943740067789,0,23.31,4.98360662170834
