Species,Photo_ML _ID,Eye_Measurement _pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Motacilla cinerea,572015321,47.05,111.977,35.76,10.8,3,4.54,3.95,4.24,3.13,3.6,-0.13
Motacilla cinerea,206023231,68.53,165.738,59.203,10.8,3,4.47,3.47,3.97,2.8,3.6,-0.22
Motacilla cinerea,209926441,71.34,192.492,62.948,10.8,3,4,3.4,3.7,3.06,3.6,-0.15
Motacilla cinerea,632596341,37.02,97.749,27.795,10.8,3,4.09,4,4.04,3.52,3.6,-0.02
Motacilla cinerea,303858091,51.74,116.619,45.533,10.8,3,4.79,3.41,4.1,2.56,3.6,-0.29
Motacilla cinerea,429891441,67.16,175.213,59.67,10.8,3,4.14,3.38,3.76,2.94,3.6,-0.18
Motacilla cinerea,631247971,40.59,108.409,37.547,10.8,3,4.04,3.24,3.64,2.89,3.6,-0.2
Motacilla cinerea,643294364,78.48,191.604,66.672,10.8,3,4.42,3.53,3.98,2.87,3.6,-0.2
Motacilla cinerea,147243031,49.19,151.315,46.573,10.8,3,3.51,3.17,3.34,3.25,3.6,-0.1
Motacilla cinerea,495093251,56.14,113.385,37.154,10.8,3,5.35,4.53,4.94,3.05,3.6,-0.15
Motacilla cinerea,610238182,40.87,90.971,35.569,10.8,3,4.85,3.45,4.15,2.56,3.6,-0.29
Motacilla cinerea,613208823,29.53,74.25,24.009,10.8,3,4.29,3.69,3.99,3.09,3.6,-0.14
Motacilla cinerea,385277051,41.77,111.306,42.038,10.8,3,4.05,2.98,3.52,2.65,3.6,-0.26
Motacilla cinerea,28330261,78.86,186.667,62.953,10.8,3,4.56,3.76,4.16,2.97,3.6,-0.18
Motacilla cinerea,644493505,39.74,102.191,33.515,10.8,3,4.2,3.56,3.88,3.05,3.6,-0.15
Motacilla cinerea,281525161,66,154.04,56.608,10.8,3,4.63,3.5,4.06,2.72,3.6,-0.24
Motacilla cinerea,64587051,77.81,158.954,52.037,10.8,3,5.29,4.49,4.89,3.05,3.6,-0.15
Culicicapa ceylonensis,425947021,86.59,110.027,51.788,5.9,2.5,4.64,4.18,4.41,2.12,2.36,-0.1
Culicicapa ceylonensis,638604161,62.15,80.638,37.483,5.9,2.5,4.55,4.14,4.35,2.15,2.36,-0.09
Culicicapa ceylonensis,311936121,104.48,146.578,57.14,5.9,2.5,4.21,4.57,4.39,2.57,2.36,0.09
Culicicapa ceylonensis,294930851,74.1,111.879,53.151,5.9,2.5,3.91,3.49,3.7,2.1,2.36,-0.11
Culicicapa ceylonensis,587367471,75.37,94.112,46.174,5.9,2.5,4.72,4.08,4.4,2.04,2.36,-0.14
Culicicapa ceylonensis,628284827,81.74,118.714,50.122,5.9,2.5,4.06,4.08,4.07,2.37,2.36,0
Culicicapa ceylonensis,613636290,91.78,123.223,59.908,5.9,2.5,4.39,3.83,4.11,2.06,2.36,-0.13
Culicicapa ceylonensis,612825330,85.05,123.762,54.342,5.9,2.5,4.05,3.91,3.98,2.28,2.36,-0.03
Culicicapa ceylonensis,420726311,78.83,111.987,50.488,5.9,2.5,4.15,3.9,4.03,2.22,2.36,-0.06
Culicicapa ceylonensis,613635733,75.74,95.834,47.595,5.9,2.5,4.66,3.98,4.32,2.01,2.36,-0.15
Culicicapa ceylonensis,523869161,75.71,108.116,53.021,5.9,2.5,4.13,3.57,3.85,2.04,2.36,-0.14
Culicicapa ceylonensis,620069182,26,39.001,19.941,5.9,2.5,3.93,3.26,3.6,1.96,2.36,-0.17
Culicicapa ceylonensis,624991768,63.06,97.218,44.503,5.9,2.5,3.83,3.54,3.68,2.18,2.36,-0.07
